,Loss G,Loss D
0,1.4060925650483114e-06,9.978059768676758
1,-6.495046545751393e-05,9.972405433654785
2,0.00012037163105560467,9.964315414428711
3,0.0002689472457859665,9.954283714294434
4,0.00043236720375716686,9.939592361450195
5,0.0006062604952603579,9.918574333190918
6,0.0007790136733092368,9.881300926208496
7,0.000993302557617426,9.848055839538574
8,0.0012163571082055569,9.77998161315918
9,0.0014711114345118403,9.693220138549805
10,0.001595581416040659,9.551678657531738
11,0.0014859666116535664,9.35275650024414
12,0.0007642945274710655,9.115943908691406
13,-0.0020875982008874416,8.812859535217285
14,-0.01435483992099762,8.350275993347168
15,-0.03594139590859413,7.610722541809082
16,-0.09174218773841858,6.923469543457031
17,-0.2096261829137802,5.637754440307617
18,-0.5243300199508667,4.213448524475098
19,-1.118294596672058,2.3168396949768066
20,-2.449094772338867,0.21010923385620117
21,-5.12977933883667,-1.636723518371582
22,-10.60649299621582,0.5857686996459961
23,-21.17538070678711,1.2110681533813477
24,-36.3975715637207,10.006925582885742
25,-56.02887725830078,19.57776641845703
26,-71.14630126953125,28.42010498046875
27,-76.13078308105469,29.753137588500977
28,-72.52871704101562,32.0732536315918
29,-62.98881530761719,24.241840362548828
30,-51.8985595703125,13.688762664794922
31,-41.83946228027344,9.920904159545898
32,-33.316532135009766,4.976366996765137
33,-26.16998291015625,0.24971437454223633
34,-20.846546173095703,-6.517723083496094
35,-17.007335662841797,-10.505867958068848
36,-13.470611572265625,-12.614925384521484
37,-10.490854263305664,-28.737773895263672
38,-7.952077865600586,-34.405277252197266
39,-5.578551292419434,-44.56188201904297
40,-3.3953452110290527,-52.951080322265625
41,-1.1815906763076782,-68.70243072509766
42,0.44281667470932007,-90.58125305175781
43,1.315478801727295,-109.85692596435547
44,2.3407578468322754,-102.26622772216797
45,3.587888479232788,-102.23141479492188
46,4.9369354248046875,-157.9305419921875
47,6.324112892150879,-78.2200927734375
48,7.287951469421387,-69.29339599609375
49,7.923754692077637,-185.9185791015625
50,8.7153902053833,-146.92398071289062
51,9.569955825805664,-149.66680908203125
52,10.517522811889648,-152.8825225830078
53,11.62512493133545,-155.58697509765625
54,13.115713119506836,-155.395751953125
55,15.061424255371094,-110.07095336914062
56,17.463623046875,-136.3647003173828
57,20.545751571655273,-156.80316162109375
58,24.72597885131836,-142.76260375976562
59,30.149980545043945,-191.84339904785156
60,37.452850341796875,-170.82461547851562
61,46.95166778564453,-223.63284301757812
62,59.26613998413086,-213.23150634765625
63,75.1585693359375,-237.10064697265625
64,95.73388671875,-197.66741943359375
65,120.83734130859375,-263.0203857421875
66,152.19619750976562,-365.78521728515625
67,192.74014282226562,-318.922119140625
68,241.67764282226562,-370.8725280761719
69,299.581298828125,-408.2093505859375
70,356.5135498046875,-431.310791015625
71,381.5045166015625,-459.46978759765625
72,349.03094482421875,-431.33551025390625
73,235.7546844482422,0.2822265625
74,77.95097351074219,52.519256591796875
75,-44.99205017089844,51.33973693847656
76,-67.90399932861328,-87.99933624267578
77,-61.52315139770508,-58.80340576171875
78,-55.7891731262207,-63.83344268798828
79,-51.21086883544922,-52.68739700317383
80,-47.568702697753906,-31.53082275390625
81,-44.458282470703125,-42.422340393066406
82,-42.011009216308594,-29.23435401916504
83,-39.995269775390625,-23.67498779296875
84,-38.279029846191406,-37.77427291870117
85,-37.04716491699219,-51.488861083984375
86,-36.41925048828125,-41.94274139404297
87,-36.228275299072266,-43.701316833496094
88,-36.42381286621094,-51.64902114868164
89,-37.04915237426758,-49.7559928894043
90,-38.058631896972656,-66.30891418457031
91,-39.54443359375,-70.40454864501953
92,-41.56782150268555,-62.40301513671875
93,-44.08827209472656,-79.29118347167969
94,-47.15497589111328,-98.91378784179688
95,-50.743675231933594,-117.69010162353516
96,-54.939674377441406,-116.68773651123047
97,-59.77989196777344,-152.90908813476562
98,-65.22259521484375,-180.2941131591797
99,-71.70835876464844,-151.0213623046875
100,-78.17566680908203,-198.21084594726562
101,-84.32209777832031,-264.41888427734375
102,-89.70784759521484,-299.1914978027344
103,-93.5699462890625,-264.6085205078125
104,-92.2713394165039,-152.58978271484375
105,-85.94960021972656,-295.917724609375
106,-77.65577697753906,-172.64276123046875
107,-68.183349609375,-118.16812133789062
108,-58.419761657714844,-343.3810729980469
109,-49.759559631347656,-272.5817565917969
110,-42.41859436035156,-254.38751220703125
111,-36.078277587890625,-240.3114776611328
112,-30.45453453063965,-227.12051391601562
113,-25.96653175354004,-231.00320434570312
114,-22.187755584716797,-384.4716796875
115,-18.97390365600586,-229.86276245117188
116,-16.098838806152344,-311.12261962890625
117,-13.842741012573242,-324.43133544921875
118,-11.673571586608887,-256.7236022949219
119,-9.735960006713867,-344.75714111328125
120,-8.131179809570312,-341.34613037109375
121,-6.7798261642456055,-354.01849365234375
122,-5.990691184997559,-396.9953308105469
123,-5.810081958770752,-327.7016906738281
124,-7.0372419357299805,-326.71405029296875
125,-9.048398971557617,-293.75909423828125
126,-10.929494857788086,-289.782958984375
127,-11.819583892822266,-348.5543518066406
128,-10.985369682312012,-261.36895751953125
129,-9.789140701293945,-365.4091491699219
130,-8.348488807678223,-405.6151123046875
131,-7.448738098144531,-360.46710205078125
132,-6.5469069480896,-337.5408630371094
133,-5.770068168640137,-265.923583984375
134,-5.897759914398193,-319.089111328125
135,-6.602666854858398,-383.0272216796875
136,-7.975423812866211,-333.56903076171875
137,-8.942305564880371,-316.3250732421875
138,-8.100203514099121,-205.3192596435547
139,-6.699436664581299,-254.61859130859375
140,-5.221701622009277,-361.5133972167969
141,-4.988936901092529,-307.76055908203125
142,-6.094831943511963,-327.89666748046875
143,-8.362186431884766,-288.67852783203125
144,-12.851629257202148,-345.306396484375
145,-21.351364135742188,-253.65200805664062
146,-36.998199462890625,-224.75335693359375
147,-61.372589111328125,-167.6650390625
148,-89.18495178222656,-217.2535400390625
149,-113.60025024414062,-122.66313171386719
150,-136.17312622070312,-5.545654296875
151,-153.98837280273438,-73.12400817871094
152,-162.56097412109375,-15.256397247314453
153,-162.4964599609375,-46.834625244140625
154,-155.9119873046875,-46.27924346923828
155,-144.6231689453125,14.413476943969727
156,-129.07669067382812,-21.16488265991211
157,-112.32522583007812,-2.978745460510254
158,-94.62435150146484,-16.862934112548828
159,-77.10533905029297,-8.812442779541016
160,-59.99336242675781,-28.457683563232422
161,-44.04322814941406,-12.891544342041016
162,-28.62795639038086,-33.383907318115234
163,-12.385486602783203,-26.172121047973633
164,6.9256486892700195,-39.76469421386719
165,30.871463775634766,-60.55801773071289
166,62.215980529785156,-81.72686767578125
167,104.01091003417969,-134.7841339111328
168,164.10580444335938,-159.62945556640625
169,251.45074462890625,-222.07809448242188
170,378.71856689453125,-306.1729736328125
171,554.7706298828125,-325.8013610839844
172,774.5325927734375,-29.4415283203125
173,802.1448364257812,-82.585693359375
174,680.664306640625,-51.78094482421875
175,460.52142333984375,221.78985595703125
176,228.10232543945312,99.13482666015625
177,41.977935791015625,149.67684936523438
178,-1.0140128135681152,93.33331298828125
179,0.5541893243789673,69.04263305664062
180,-1.4788638353347778,9.796346664428711
181,-2.2976388931274414,-31.624753952026367
182,-1.078070878982544,-25.009998321533203
183,-0.2737531065940857,-24.280420303344727
184,-0.19647559523582458,-14.120932579040527
185,-0.08535678684711456,-34.83987808227539
186,-0.053347423672676086,-16.558727264404297
187,-0.03169340267777443,-25.31339454650879
188,-0.017483539879322052,-33.37788391113281
189,-0.010987096466124058,-33.37548828125
190,-0.010135963559150696,-44.867942810058594
191,-0.01439980510622263,-40.2047233581543
192,-0.01726367324590683,-45.1385383605957
193,-0.02758978307247162,-51.57794189453125
194,-0.04310338944196701,-48.241207122802734
195,-0.0784483477473259,-34.86187744140625
196,-0.12853433191776276,-64.62358093261719
197,-0.2317623794078827,-68.63216400146484
198,-0.4047057628631592,-64.8251953125
199,-0.6085926294326782,-80.989013671875
200,-0.938282310962677,-113.57553100585938
201,-1.496067762374878,-98.06278991699219
202,-2.1527280807495117,-133.62884521484375
203,-3.0430455207824707,-157.85960388183594
204,-4.207836627960205,-190.51573181152344
205,-6.210927486419678,-183.30072021484375
206,-8.559835433959961,-215.3558349609375
207,-10.844853401184082,-203.39608764648438
208,-13.30727767944336,-267.9580383300781
209,-14.983392715454102,-268.1146240234375
210,-16.053787231445312,-212.1094970703125
211,-13.642864227294922,-239.158203125
212,-10.40426254272461,-167.16473388671875
213,-9.200092315673828,-253.45950317382812
214,-25.49298858642578,-146.68460083007812
215,-89.44022369384766,-89.351318359375
216,-179.4252166748047,-32.23095703125
217,-194.63514709472656,20.368606567382812
218,-160.7109375,-99.48175048828125
219,-112.89991760253906,-44.81285095214844
220,-70.59689331054688,-122.89283752441406
221,-34.05436706542969,-136.934326171875
222,-9.071496963500977,-166.1121826171875
223,-0.7427397966384888,-133.7197265625
224,2.4597182273864746,-186.57687377929688
225,7.835185527801514,-145.13681030273438
226,17.307533264160156,-160.35108947753906
227,30.73583221435547,-145.5674285888672
228,47.81476974487305,-157.5715789794922
229,69.83485412597656,-197.08834838867188
230,100.14019012451172,-191.20260620117188
231,142.96116638183594,-249.34837341308594
232,200.7445068359375,-311.3569030761719
233,279.088134765625,-436.3368225097656
234,384.89215087890625,-420.91595458984375
235,526.9737548828125,-565.3101806640625
236,719.470458984375,-720.361328125
237,979.2342529296875,-846.2752685546875
238,1329.597412109375,-761.2799072265625
239,1728.212646484375,-1275.7230224609375
240,2258.60546875,-1404.54345703125
241,2911.544921875,-2454.421630859375
242,3794.60888671875,-2321.8642578125
243,4897.66650390625,1300.837890625
