,Loss G,Loss D
0,7.34460137152837e-09,9.999990463256836
1,0.001052436651661992,9.99993896484375
2,0.0001707852934487164,9.999876022338867
3,-0.0028060725890100002,9.999712944030762
4,-0.006963915191590786,9.999445915222168
5,-0.01285235583782196,9.998799324035645
6,-0.019642844796180725,9.996967315673828
7,-0.031239720061421394,9.992557525634766
8,-0.0339631661772728,9.98169994354248
9,-0.11505144089460373,9.957834243774414
10,-0.005342176649719477,9.891036033630371
11,-0.21453136205673218,9.769699096679688
12,0.19374769926071167,9.489641189575195
13,-1.4039604663848877,9.309852600097656
14,-3.4948902130126953,8.6288423538208
15,-6.111355781555176,6.5918684005737305
16,-6.890773773193359,1.2820844650268555
17,-2.9860105514526367,-9.356840133666992
18,3.4293575286865234,-29.87640380859375
19,-42.897789001464844,-59.197303771972656
20,-98.258056640625,-129.35061645507812
21,-65.39756774902344,-230.38406372070312
22,50.291404724121094,-150.45416259765625
23,-91.86466979980469,-276.6404724121094
24,-242.0620574951172,-231.551513671875
25,-210.09947204589844,-232.1696014404297
26,-143.28634643554688,-178.67489624023438
27,-79.04180908203125,-144.22488403320312
28,21.554710388183594,-88.89666748046875
29,120.98921966552734,-30.061389923095703
30,190.81674194335938,-15.958857536315918
31,261.989990234375,-17.163476943969727
32,330.549560546875,-40.10073471069336
33,368.55487060546875,-64.45440673828125
34,295.08404541015625,-195.46145629882812
35,-86.4312515258789,-185.62413024902344
36,-133.8502197265625,-249.2782745361328
37,370.924560546875,-482.3058776855469
38,1514.357421875,226.119140625
39,1843.937744140625,-196.19471740722656
40,2088.8603515625,-227.35264587402344
41,2033.5787353515625,-395.2819519042969
42,1563.9464111328125,-649.3619384765625
43,331.8602600097656,-792.6030883789062
44,1089.85400390625,-1465.8819580078125
45,3273.134765625,-1248.64404296875
46,5342.798828125,-1379.24755859375
47,6926.2998046875,-641.2109375
48,6629.98876953125,-1341.502197265625
49,5433.5185546875,-1259.136962890625
50,2825.038330078125,-1211.7352294921875
51,201.42108154296875,-1019.3179321289062
52,-1627.9039306640625,-895.692626953125
53,-2501.779052734375,-740.0228271484375
54,-2572.93701171875,-902.3464965820312
55,-2958.14501953125,-932.5037841796875
56,-4407.01025390625,-936.56787109375
57,-2903.40087890625,-893.3050537109375
58,857.7811889648438,-648.2388305664062
59,-3688.0341796875,-366.622314453125
60,5188.1845703125,27.07849884033203
61,-678.5303955078125,31.566650390625
62,153.9056396484375,-0.00579833984375
63,3570.513916015625,76.45863342285156
64,6272.16015625,138.14175415039062
65,7136.8251953125,166.73660278320312
66,6421.09716796875,115.43009185791016
67,4863.5888671875,83.66340637207031
68,3096.29150390625,65.82966613769531
69,1956.16015625,40.23500061035156
70,1293.447509765625,32.760887145996094
71,1122.368408203125,-3.0720653533935547
72,1113.2696533203125,-7.5606489181518555
73,1330.05615234375,-14.75269889831543
74,1702.2003173828125,-30.57316017150879
75,2180.3896484375,-45.085227966308594
76,2744.326171875,-60.08211898803711
77,3359.47607421875,-56.35491943359375
78,4038.4931640625,-81.63683319091797
79,4895.8603515625,-94.96355438232422
80,5906.71435546875,-112.34626770019531
81,7041.990234375,-114.95218658447266
82,8142.95361328125,-156.8441162109375
83,9240.3955078125,-145.3517303466797
84,10124.595703125,-256.52264404296875
85,11148.5576171875,-280.06732177734375
86,12293.2041015625,-290.5988464355469
87,13223.650390625,-279.6695251464844
88,13665.60546875,-348.2435302734375
89,13804.734375,-288.9968566894531
90,13332.328125,-236.70852661132812
91,12279.455078125,-333.1844482421875
92,11394.8095703125,-352.3819580078125
93,10763.85546875,-341.5185241699219
94,10382.548828125,-353.14727783203125
95,10420.0390625,-313.66827392578125
96,10637.375,-353.59478759765625
97,11075.279296875,-249.34307861328125
98,11347.671875,-277.0854797363281
99,11421.95703125,-352.644287109375
100,11640.7275390625,-326.8083190917969
101,11758.958984375,-257.7392272949219
102,11601.19921875,-334.97735595703125
103,11497.9296875,-353.8233642578125
104,11412.5224609375,-247.17913818359375
105,11131.3125,-227.739013671875
106,10575.5078125,-311.0926513671875
107,10084.927734375,-347.5050964355469
108,9865.759765625,-324.09814453125
109,9837.619140625,-286.7430114746094
110,9817.994140625,-353.0028076171875
111,10041.6640625,-257.585693359375
112,10082.251953125,-288.691162109375
113,10015.58203125,-333.58538818359375
114,9963.3515625,-317.57659912109375
115,9886.0126953125,-406.6446533203125
116,10058.61328125,-327.57073974609375
117,10163.7470703125,-365.89666748046875
118,10287.875,-381.30316162109375
119,10464.361328125,-323.0920104980469
120,10379.9755859375,-309.20660400390625
121,9927.974609375,-393.3940734863281
122,9597.25,-366.0826416015625
123,9268.74609375,-383.880126953125
124,9177.380859375,-357.58221435546875
125,9075.609375,-245.71713256835938
126,8517.947265625,-351.06072998046875
127,8146.068359375,-404.3516845703125
128,8172.4833984375,-328.19586181640625
129,8244.8935546875,-346.95062255859375
130,8352.296875,-295.1905212402344
131,8322.8671875,-324.4302978515625
132,8230.7451171875,-304.10345458984375
133,8150.203125,-289.34027099609375
134,8037.97705078125,-317.87493896484375
135,8046.9765625,-375.27947998046875
136,8329.587890625,-339.840576171875
137,8721.5751953125,-307.1699523925781
138,8945.9306640625,-368.1491394042969
139,9306.00390625,-346.5706481933594
140,9469.4951171875,-429.30877685546875
141,9871.38671875,-401.2597351074219
142,10197.0703125,-420.7379455566406
143,10675.125,-407.2789001464844
144,11239.3232421875,-442.79644775390625
145,12012.2861328125,-396.5325012207031
146,12621.822265625,-442.11578369140625
147,13044.9423828125,-402.53741455078125
148,13234.416015625,-497.78912353515625
149,13629.078125,-538.417724609375
150,14551.1279296875,-425.4895324707031
151,14673.4140625,-482.03192138671875
152,14462.580078125,-375.1917724609375
153,12718.4755859375,-496.28253173828125
154,11492.8154296875,-529.4833374023438
155,11266.447265625,-476.2132263183594
156,11468.3046875,-466.164794921875
157,11933.5341796875,-442.2318115234375
158,12261.0859375,-308.70086669921875
159,11140.0458984375,-485.782958984375
160,10550.4453125,-322.39263916015625
161,9466.39453125,-418.406005859375
162,8938.98046875,-364.1776428222656
163,8575.33984375,-372.9798278808594
164,8377.67578125,-376.052490234375
165,8510.8974609375,-407.1676025390625
166,9175.1171875,-395.22161865234375
167,9525.345703125,-432.2310791015625
168,10096.267578125,-314.1450500488281
169,9983.611328125,-364.42303466796875
170,9490.310546875,-401.009033203125
171,8857.560546875,-334.08087158203125
172,7999.931640625,-368.85504150390625
173,7451.3095703125,-328.8558654785156
174,7320.24267578125,-396.6385192871094
175,7553.52783203125,-353.9534606933594
176,7758.1875,-330.53436279296875
177,7924.99365234375,-378.4971923828125
178,8361.908203125,-375.4749755859375
179,8829.97265625,-314.0035705566406
180,8950.056640625,-343.74468994140625
181,8972.064453125,-355.3592529296875
182,8981.5205078125,-511.94073486328125
183,9545.677734375,-320.820556640625
184,9697.0673828125,-379.81591796875
185,9404.9921875,-354.877685546875
186,8796.9306640625,-397.7057189941406
187,8165.4619140625,-401.8685607910156
188,7926.1572265625,-389.3423767089844
189,7890.98828125,-410.23419189453125
190,8294.0380859375,-368.0270080566406
191,8799.068359375,-365.1758728027344
192,9321.818359375,-436.47247314453125
193,9975.482421875,-360.3493957519531
194,10171.63671875,-297.9281005859375
195,9738.173828125,-462.2181091308594
196,9447.087890625,-461.52166748046875
197,9321.916015625,-290.45526123046875
198,8438.279296875,-398.64410400390625
199,7885.49853515625,-340.4126892089844
200,7524.50390625,-395.0405578613281
201,7765.765625,-432.3450927734375
202,8482.130859375,-537.2060546875
203,10042.08984375,-421.80029296875
204,11253.951171875,-374.02191162109375
205,11481.1875,-379.993408203125
206,10623.0625,-478.9844665527344
207,9683.59375,-433.3817138671875
208,8994.3623046875,-346.67999267578125
209,8477.771484375,-383.76123046875
210,8399.583984375,-351.0920104980469
211,8551.1318359375,-310.675537109375
212,8655.015625,-351.06781005859375
213,8735.94921875,-251.71636962890625
214,8073.31591796875,-363.8589172363281
215,7465.6181640625,-340.38787841796875
216,6867.2880859375,-432.40521240234375
217,6762.2041015625,-377.1651611328125
218,6833.79931640625,-406.6896667480469
219,7012.7119140625,-357.51593017578125
220,6925.3798828125,-428.91876220703125
221,6905.9169921875,-312.2029113769531
222,6408.490234375,-456.1407470703125
223,6163.3779296875,-382.4029846191406
224,5777.94921875,-387.62725830078125
225,5422.44970703125,-357.94488525390625
226,4924.38818359375,-393.9953308105469
227,4577.3974609375,-366.52642822265625
228,4379.712890625,-333.17401123046875
229,4257.9384765625,-318.48468017578125
230,4252.97509765625,-357.5315246582031
231,4425.61865234375,-395.403564453125
232,4681.70703125,-360.9549560546875
233,4949.857421875,-406.46087646484375
234,5283.28759765625,-360.1768493652344
